FILE=\sensor1_sn3775_2019_10_17_17_31_11.csv
Thu Oct 17 17:31:05 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.18.348,66,0,0,1832,2046,1569,336,2046,2046,2046,323,1993,2046,2046,216,667,2046,2046,2046,539,2046,2046,470,288,2046,1949,320,
17.31.18.449,67,0,0,1831,2046,1572,334,2046,2046,2046,323,1993,2046,2046,216,668,2046,2046,2046,539,2046,2046,471,289,2046,1950,320,
17.31.18.548,68,0,0,1831,2046,1572,334,2046,2046,2046,323,1993,2046,2046,214,667,2046,2046,2046,540,2046,2046,471,288,2046,1950,322,
17.31.18.648,69,0,0,1832,2046,1572,336,2046,2046,2046,321,1995,2046,2046,216,669,2046,2046,2046,541,2046,2046,471,289,2046,1949,319,
17.31.18.747,70,0,0,1830,2046,1575,335,2046,2046,2046,322,1991,2046,2046,217,669,2046,2046,2046,540,2046,2046,470,289,2046,1949,319,
17.31.18.847,71,0,0,1831,2046,1572,336,2046,2046,2046,323,1995,2046,2046,217,669,2046,2046,2046,539,2046,2046,470,288,2046,1950,320,
17.31.18.947,72,0,0,1831,2046,1573,336,2046,2046,2046,322,1995,2046,2046,216,669,2046,2046,2046,540,2046,2046,472,289,2046,1949,321,
17.31.19.047,73,0,0,1831,2046,1575,336,2046,2046,2046,322,1996,2046,2046,216,669,2046,2046,2046,541,2046,2046,470,289,2046,1950,320,
17.31.19.147,74,0,0,1830,2046,1573,335,2046,2046,2046,322,1996,2046,2046,216,671,2046,2046,2046,541,2046,2046,470,287,2046,1949,319,
17.31.19.246,75,0,0,1829,2046,1573,334,2046,2046,2046,323,2002,2046,2046,216,670,2046,2046,2046,540,2046,2046,471,287,2046,1948,319,
17.31.19.348,76,0,0,1831,2046,1575,335,2046,2046,2046,323,2001,2046,2046,217,669,2046,2046,2046,540,2046,2046,471,289,2046,1950,320,
17.31.19.448,77,0,0,1832,2046,1578,336,2046,2046,2046,324,2001,2046,2046,218,669,2046,2046,2046,540,2046,2046,470,286,2046,1948,319,
17.31.19.547,78,0,0,1832,2046,1576,336,2046,2046,2046,324,1999,2046,2046,218,669,2046,2046,2046,540,2046,2046,470,286,2046,1948,319,
17.31.19.647,79,0,0,1832,2046,1580,337,2046,2046,2046,324,2000,2046,2046,216,669,2046,2046,2046,540,2046,2046,470,287,2046,1948,319,
17.31.19.747,80,0,0,1832,2046,1579,337,2046,2046,2046,323,1998,2046,2046,216,669,2046,2046,2046,540,2046,2046,471,287,2046,1952,319,
17.31.19.847,81,0,0,1831,2046,1577,336,2046,2046,2046,323,2000,2046,2046,217,668,2046,2046,2046,539,2046,2046,471,289,2046,1950,320,
17.31.19.947,82,0,0,1832,2046,1582,336,2046,2046,2046,323,2003,2046,2046,218,669,2046,2046,2046,540,2046,2046,471,288,2046,1948,320,
17.31.20.047,83,0,0,1832,2046,1588,337,2046,2046,2046,323,1990,2046,2046,217,670,2046,2046,2046,540,2046,2046,471,287,2046,1948,318,
17.31.20.146,84,0,0,1831,2046,1590,337,2046,2046,2046,324,1996,2046,2046,217,669,2046,2046,2046,541,2046,2046,472,287,2046,1948,320,
17.31.20.246,85,0,0,1832,2046,1585,337,2046,2046,2046,324,1991,2046,2046,216,670,2046,2046,2046,539,2046,2046,473,286,2046,1948,320,
17.31.20.346,86,0,0,1833,2046,1584,336,2046,2046,2046,323,1993,2046,2046,216,667,2046,2046,2046,538,2046,2046,471,287,2046,1948,320,
17.31.20.446,87,0,0,1833,2046,1587,337,2046,2046,2046,324,1992,2046,2046,216,667,2046,2046,2046,538,2046,2046,473,287,2046,1949,320,
17.31.20.546,88,0,0,1831,2046,1593,336,2046,2046,2046,323,1976,2046,2046,216,666,2046,2046,2046,537,2046,2046,475,288,2046,1950,321,
17.31.20.647,89,0,0,1830,2046,1594,336,2046,2046,2046,323,2011,2046,2046,218,665,2046,2046,2046,537,2046,2046,476,287,2046,1950,320,
17.31.20.748,90,0,0,1830,2046,1589,337,2046,2046,2046,323,2036,2046,2046,218,666,2046,2046,2046,539,2046,2046,476,289,2046,1951,320,
17.31.20.847,91,0,0,1830,2046,1589,337,2046,2046,2046,323,2036,2046,2046,215,666,2046,2046,2046,541,2046,2046,478,289,2046,1953,321,
17.31.20.947,92,0,0,1830,2046,1599,336,2046,2046,2046,323,2044,2046,2046,215,667,2046,2046,2046,543,2046,2046,481,290,2046,1952,321,
